id,title,field_id,field_blue,field_red,reference-taxonomy_term-field_generation,reference-media-field_featured_media,reference-taxonomy_term-field_types,reference-taxonomy_term-field_weaknesses,author,slug
22,Raikou,243,"Raikou embodies the speed of lightning.","The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.",generation:2,image:31,type:4,type:11,5,/pokemon/generation-2/raikou
23,Entei,244,"Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano.","Entei embodies the passion of magma. It sends up massive bursts of fire that utterly consume all that they touch.",generation:2,image:32,type:7,type:18|type:11|type:16,6,/pokemon/generation-2/entei
24,Suicune,245,"Suicune embodies the compassion of a pure spring of water.","It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.",generation:2,image:33,type:18,type:4|type:10,7,/pokemon/generation-2/suicune
25,Treecko,252,"Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.","Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.",generation:3,image:34,type:10,type:7|type:8|type:12|type:14|type:1,5,/pokemon/generation-3/treecko
26,Grovyle,253,"The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.","This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.",generation:3,image:35,type:10,type:7|type:8|type:12|type:14|type:1,5,/pokemon/generation-3/grovyle
27,Sceptile,254,"The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.","Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.",generation:3,image:36,type:10,type:7|type:8|type:12|type:14|type:1,5,/pokemon/generation-3/sceptile
28,Torchic,255,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black.","Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.",generation:3,image:37,type:7,type:11|type:16|type:18,6,/pokemon/generation-3/torchic
29,Combusken,256,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second.","Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.",generation:3,image:38,type:7|type:6,type:11|type:16|type:15|type:18,6,/pokemon/generation-3/combusken
30,Blaziken,257,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn.","Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.",generation:3,image:39,type:7|type:6,type:11|type:16|type:15|type:18,6,/pokemon/generation-3/blaziken
31,Mudkip,258,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes.","In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.",generation:3,image:40,type:18,type:4|type:10,7,/pokemon/generation-3/mudkip
32,Marshtomp,259,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low.","Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.",generation:3,image:41,type:18|type:11,type:4,7,/pokemon/generation-3/marshtomp
33,Swampert,260,"Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.","Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.",generation:3,image:42,type:18|type:11,type:4,7,/pokemon/generation-3/swampert
34,Regirock,377,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost.","Cutting-edge technology was used to study the internals of this Pokémon’s rock body, but nothing was found—not even a brain or a heart.",generation:3,image:43,type:16,type:18|type:17|type:10|type:6|type:11,5,/pokemon/generation-3/regirock
35,Regice,378,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it.","This Pokémon’s body is made of solid ice. It’s said that Regice was born beneath thick ice in the ice age.",generation:3,image:44,type:12,type:7|type:17|type:6|type:16,6,/pokemon/generation-3/regice
36,Registeel,379,"Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.","It’s rumored that this Pokémon was born deep underground in the planet’s mantle and that it emerged onto the surface 10,000 years ago.",generation:3,image:45,type:17,type:7|type:6|type:11,7,/pokemon/generation-3/registeel
